question_id,domain,response,phase2_remediation_class,implementation_state,why_no,missing_evidence,remediation_owner,technical_vs_human,cursor_can_remediate,production_evidence_required,external_party_required
A&A-01.1,A&A,NO,F_ORGANIZATIONAL,MISSING,OWNER ASSERTION / narrative only — no verifiable repository implementation cited. Documented in compliance/INTERNAL_SECURITY_REVIEW.md and THREAT_MODEL.md; not a formally separate 'audit and assurance' policy document.,,CSP (WhitePact),human,False,False,False
A&A-01.2,A&A,NO,F_ORGANIZATIONAL,MISSING,"No formal annual review cadence yet -- solo-founder team, policies are updated as the codebase changes rather than on a calendar. See GOVERNANCE.md.",Owner sign-off required.,CSP (WhitePact),human,False,False,False
A&A-02.1,A&A,NO,F_ORGANIZATIONAL,MISSING,"DOCUMENTED PROCESS / policy text only — not operational proof per compliance/CAIQ_EVIDENCE_BOUNDARY.md. No independent third-party audit performed yet -- see compliance/NO_BUDGET_TRUST_PATH.md for the honest interim path (self-conducted scans, OpenSSF Scorecard) while SOC 2/pentest funding is pending.",Collect provider attestation or implement in-repo control.,Cloud / third-party provider,human,False,False,False
A&A-03.1,A&A,NO,F_ORGANIZATIONAL,MISSING,No formal risk-based audit plan exists yet.,,CSP (WhitePact),human,False,False,False
A&A-04.1,A&A,NO,I_LEGAL_PRIVACY,MISSING,"OWNER ASSERTION / narrative only — no verifiable repository implementation cited. Compliance mappings for AI-governance regulations (EU AI Act, NIST AI RMF, ISO 42001) are a product feature (rai_compliance, rai_eu_ai_act_classify tools); the platform's own infosec compliance status against those is tracked in compliance/SOC2_READINESS.md.",,CSP (WhitePact),technical,False,False,True
A&A-05.1,A&A,NO,F_ORGANIZATIONAL,MISSING,"OWNER ASSERTION / narrative only — no verifiable repository implementation cited. .github/workflows/security-scan.yml (Bandit + pip-audit, weekly) + compliance/INTERNAL_SECURITY_REVIEW.md is the current audit-management process; informal, not a documented multi-step SOP.",,CSP (WhitePact),human,False,False,False
A&A-06.1,A&A,NO,F_ORGANIZATIONAL,MISSING,OWNER ASSERTION / narrative only — no verifiable repository implementation cited. Findings are tracked and remediated via normal git issue/PR flow -- e.g. the nltk PYSEC-2026-597 fix documented in CHANGELOG.md. No separate formal 'corrective action plan' doc.,,CSP (WhitePact),human,False,False,False
AIS-01.1,AIS,NO,B_RUNTIME_ARCHITECTURE,MISSING,OWNER ASSERTION / narrative only — no verifiable repository implementation cited. CONTRIBUTING.md + THREAT_MODEL.md; ruff/mypy strict gate every commit via .github/workflows/ci.yml.,,CSP (WhitePact),technical,True,False,False
AIS-01.2,AIS,NO,F_ORGANIZATIONAL,MISSING,"No formal annual review cadence yet -- solo-founder team, policies are updated as the codebase changes rather than on a calendar. See GOVERNANCE.md.",Owner sign-off required.,CSP (WhitePact),human,False,False,False
AIS-04.1,AIS,NO,B_RUNTIME_ARCHITECTURE,MISSING,"OWNER ASSERTION / narrative only — no verifiable repository implementation cited. PR-based flow: CI (ruff, mypy, pytest, 1723+ tests) required before merge, branch protection on main (4 required status checks). No formally documented SDLC policy doc.",,CSP (WhitePact),technical,True,False,False
AIS-05.1,AIS,NO,B_RUNTIME_ARCHITECTURE,MISSING,OWNER ASSERTION / narrative only — no verifiable repository implementation cited. pytest suite (1723+ tests) gates every change; new features require passing tests before merge.,,CSP (WhitePact),technical,True,False,False
AIS-05.2,AIS,NO,B_RUNTIME_ARCHITECTURE,MISSING,OWNER ASSERTION / narrative only — no verifiable repository implementation cited. Fully automated via .github/workflows/ci.yml on every push/PR.,,CSP (WhitePact),technical,True,False,False
AIS-06.1,AIS,NO,B_RUNTIME_ARCHITECTURE,MISSING,"OWNER ASSERTION / narrative only — no verifiable repository implementation cited. Signed SBOM (CycloneDX) + Sigstore build provenance attestation on every release (RELEASING.md); PyPI trusted publishing (OIDC, no stored tokens).",,CSP (WhitePact),technical,True,False,False
AIS-08.2,AIS,NO,F_ORGANIZATIONAL,MISSING,No formal annual review cadence — policies updated with codebase changes. See GOVERNANCE.md; not calendar-driven operational proof.,,CSP (WhitePact),human,False,False,False
AIS-13.1,AIS,NO,B_RUNTIME_ARCHITECTURE,MISSING,No dedicated OS-level sandbox for arbitrary AI plugins; MCP tool registry limits exposure only.,,CSP (WhitePact),technical,True,False,False
AIS-14.1,AIS,NO,B_RUNTIME_ARCHITECTURE,MISSING,No GenAI-specific cache hardening beyond standard app caching.,,CSP (WhitePact),technical,True,False,False
AIS-15.1,AIS,NO,B_RUNTIME_ARCHITECTURE,MISSING,No separate prompt-instruction delimiter contract across all model integrations.,,CSP (WhitePact),technical,True,False,False
BCR-01.1,BCR,NO,F_ORGANIZATIONAL,MISSING,OWNER ASSERTION / narrative only — no verifiable repository implementation cited. DEPLOY_RUNBOOK.md documents failover/recovery; underlying infra HA is inherited from Render/Supabase/Upstash's own resilience commitments.,,Shared CSP and third-party,human,False,False,False
BCR-01.2,BCR,NO,F_ORGANIZATIONAL,MISSING,"No formal annual review cadence yet -- solo-founder team, policies are updated as the codebase changes rather than on a calendar. See GOVERNANCE.md.",Owner sign-off required.,CSP (WhitePact),human,False,False,False
BCR-02.1,BCR,NO,F_ORGANIZATIONAL,MISSING,"No formal business-impact-analysis-driven strategy document -- informal, single-founder scale.",,CSP (WhitePact),human,False,False,False
BCR-02.2,BCR,NO,F_ORGANIZATIONAL,MISSING,No formal annual review cadence — policies updated with codebase changes. See GOVERNANCE.md; not calendar-driven operational proof.,,CSP (WhitePact),human,False,False,False
BCR-03.1,BCR,NO,D_PRODUCTION_EVIDENCE,MISSING,"OWNER ASSERTION / narrative only — no verifiable repository implementation cited. Documented in DEPLOY_RUNBOOK.md's DB failover section; relies on managed-provider redundancy, not self-operated multi-region.",,Shared CSP and third-party,technical,False,True,False
BCR-04.1,BCR,NO,F_ORGANIZATIONAL,MISSING,No formal resilience-strategy sign-off process; solo founder makes and documents the call directly.,Owner sign-off required.,CSP (WhitePact),human,False,False,False
BCR-05.1,BCR,NO,F_ORGANIZATIONAL,MISSING,"OWNER ASSERTION / narrative only — no verifiable repository implementation cited. DEPLOY_RUNBOOK.md, compliance/INCIDENT_RESPONSE_RUNBOOK.md.",,CSP (WhitePact),human,False,False,False
BCR-05.2,BCR,NO,F_ORGANIZATIONAL,MISSING,"OWNER ASSERTION / narrative only — no verifiable repository implementation cited. All documentation lives in the public GitHub repo, available to any authorized reviewer.",,CSP (WhitePact),human,False,False,False
BCR-06.1,BCR,NO,F_ORGANIZATIONAL,MISSING,DOCUMENTED PROCESS / policy text only — not operational proof per compliance/CAIQ_EVIDENCE_BOUNDARY.md. One tabletop exercise conducted (compliance/TABLETOP_EXERCISE_2026-07-21.md) -- not yet an annual/recurring practice.,,CSP (WhitePact),human,False,False,False
BCR-07.1,BCR,NO,F_ORGANIZATIONAL,MISSING,No CSC base yet to establish this with in practice; the runbook process would notify via the documented incident channel.,,CSP (WhitePact),human,False,False,False
BCR-08.1,BCR,NO,D_PRODUCTION_EVIDENCE,MISSING,OWNER ASSERTION / narrative only — no verifiable repository implementation cited. Managed PostgreSQL backups via Supabase; not self-operated backup infrastructure.,Collect provider attestation or implement in-repo control.,Cloud / third-party provider,technical,False,True,False
BCR-08.2,BCR,NO,D_PRODUCTION_EVIDENCE,MISSING,OWNER ASSERTION / narrative only — no verifiable repository implementation cited. Field-level encryption (compliance/KEY_MANAGEMENT.md) protects specific PII columns independent of backup mechanism; backup confidentiality/integrity otherwise inherited from Supabase.,,Shared CSP and third-party,technical,False,True,False
BCR-09.1,BCR,NO,D_PRODUCTION_EVIDENCE,MISSING,OWNER ASSERTION / narrative only — no verifiable repository implementation cited. compliance/INCIDENT_RESPONSE_RUNBOOK.md.,,CSP (WhitePact),technical,False,True,False
BCR-09.2,BCR,NO,D_PRODUCTION_EVIDENCE,MISSING,"No formal annual review cadence yet -- solo-founder team, policies are updated as the codebase changes rather than on a calendar. See GOVERNANCE.md.",Owner sign-off required.,CSP (WhitePact),technical,False,True,False
BCR-10.1,BCR,NO,D_PRODUCTION_EVIDENCE,MISSING,"One tabletop exercise conducted (2026-07-21), not yet annual.",,CSP (WhitePact),technical,False,True,False
BCR-11.1,BCR,NO,F_ORGANIZATIONAL,MISSING,Not applicable -- WhitePact operates no physical equipment; fully on managed cloud PaaS.,,Cloud / third-party provider,human,False,False,False
CCC-01.1,CCC,NO,M_OTHER_EXPLAINED,MISSING,OWNER ASSERTION / narrative only — no verifiable repository implementation cited. CONTRIBUTING.md + PR-based review flow; git history is the change record.,,CSP (WhitePact),technical,False,False,False
CCC-01.2,CCC,NO,F_ORGANIZATIONAL,MISSING,"No formal annual review cadence yet -- solo-founder team, policies are updated as the codebase changes rather than on a calendar. See GOVERNANCE.md.",Owner sign-off required.,CSP (WhitePact),human,False,False,False
CCC-02.1,CCC,NO,D_PRODUCTION_EVIDENCE,MISSING,"OWNER ASSERTION / narrative only — no verifiable repository implementation cited. Branch protection on main (4 required status checks: ruff, mypy, pytest, dependency-review); no direct pushes without passing CI.",,CSP (WhitePact),technical,False,True,False
CCC-03.1,CCC,NO,M_OTHER_EXPLAINED,MISSING,"OWNER ASSERTION / narrative only — no verifiable repository implementation cited. Every change is a reviewable, tracked git PR/commit; risk is assessed via code review, not a formal risk register.",,CSP (WhitePact),technical,False,False,False
CCC-04.1,CCC,NO,M_OTHER_EXPLAINED,MISSING,OWNER ASSERTION / narrative only — no verifiable repository implementation cited. Branch protection + required PR review prevents unauthorized direct changes to main.,,CSP (WhitePact),technical,False,False,False
CCC-05.1,CCC,NO,G_CLOUD_SUBPROCESSOR,MISSING,Not applicable in current form -- no live multi-tenant hosted SaaS tier with customer-initiated change requests yet.,,CSC (customer),provider,False,False,True
CCC-06.1,CCC,NO,C_INFRA_CONFIGURATION,MISSING,OWNER ASSERTION / narrative only — no verifiable repository implementation cited. main branch + required CI checks is the baseline; every release is tagged (see RELEASING.md).,,CSP (WhitePact),technical,False,False,False
CCC-06.2,CCC,NO,F_ORGANIZATIONAL,MISSING,No formal annual review cadence — policies updated with codebase changes. See GOVERNANCE.md; not calendar-driven operational proof.,,CSP (WhitePact),human,False,False,False
CCC-07.1,CCC,NO,M_OTHER_EXPLAINED,MISSING,OWNER ASSERTION / narrative only — no verifiable repository implementation cited. CI fails loudly (ruff/mypy/pytest) on any deviation from the established baseline before merge is possible.,,CSP (WhitePact),technical,False,False,False
CCC-08.1,CCC,NO,C_INFRA_CONFIGURATION,MISSING,"No formally documented emergency-change exception process -- informal, solo-founder judgment call today.",Owner sign-off required.,CSP (WhitePact),technical,False,False,False
CCC-09.1,CCC,NO,M_OTHER_EXPLAINED,MISSING,OWNER ASSERTION / narrative only — no verifiable repository implementation cited. git revert / redeploy previous tagged release is the rollback mechanism; not a formally documented automated rollback procedure.,,CSP (WhitePact),technical,False,False,False
CEK-01.1,CEK,NO,B_RUNTIME_ARCHITECTURE,MISSING,OWNER ASSERTION / narrative only — no verifiable repository implementation cited. compliance/KEY_MANAGEMENT.md documents the encryption approach and key-custody procedure.,,CSP (WhitePact),technical,True,False,False
CEK-01.2,CEK,NO,F_ORGANIZATIONAL,MISSING,"No formal annual review cadence yet -- solo-founder team, policies are updated as the codebase changes rather than on a calendar. See GOVERNANCE.md.",Owner sign-off required.,CSP (WhitePact),human,False,False,False
CEK-02.1,CEK,NO,B_RUNTIME_ARCHITECTURE,MISSING,"OWNER ASSERTION / narrative only — no verifiable repository implementation cited. Solo founder holds sole responsibility -- documented in compliance/KEY_MANAGEMENT.md, not a multi-person RACI.",Owner sign-off required.,CSP (WhitePact),technical,True,False,False
CEK-03.1,CEK,NO,F_ORGANIZATIONAL,MISSING,DOCUMENTED PROCESS / policy text only — not operational proof per compliance/CAIQ_EVIDENCE_BOUNDARY.md. At-rest: EncryptedString (Fernet/AES-128-CBC+HMAC via the `cryptography` package) for PII columns (db/encryption.py). In-transit: TLS terminated by Render/Supabase/Upstash.,,Shared CSP and third-party,human,False,False,False
CEK-05.1,CEK,NO,B_RUNTIME_ARCHITECTURE,MISSING,OWNER ASSERTION / narrative only — no verifiable repository implementation cited. Same PR/CI review process as all other code changes; no crypto-specific separate process.,,CSP (WhitePact),technical,True,False,False
