question_id,before,after,evidence_strength,remediation_type,changed_in_campaign
A&A-01.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
A&A-01.2,UNASSESSED,NO,WEAK,F_ORGANIZATIONAL,False
A&A-02.1,UNASSESSED,NO,WEAK,G_CLOUD_SUBPROCESSOR,False
A&A-03.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
A&A-04.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
A&A-05.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
A&A-06.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
AIS-01.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
AIS-01.2,UNASSESSED,NO,WEAK,F_ORGANIZATIONAL,False
AIS-02.1,UNASSESSED,YES,MODERATE,A_SOURCE_CODE,False
AIS-03.1,UNASSESSED,YES,MODERATE,A_SOURCE_CODE,False
AIS-04.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
AIS-05.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
AIS-05.2,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
AIS-06.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
AIS-07.1,UNASSESSED,YES,MODERATE,A_SOURCE_CODE,False
AIS-08.1,UNASSESSED,YES,STRONG,A_SOURCE_CODE,False
AIS-08.2,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
AIS-09.1,UNASSESSED,YES,STRONG,A_SOURCE_CODE,False
AIS-10.1,UNASSESSED,YES,STRONG,A_SOURCE_CODE,False
AIS-11.1,UNASSESSED,YES,STRONG,A_SOURCE_CODE,False
AIS-12.1,UNASSESSED,YES,MODERATE,A_SOURCE_CODE,False
AIS-13.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
AIS-14.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
AIS-15.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
BCR-01.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
BCR-01.2,UNASSESSED,NO,WEAK,F_ORGANIZATIONAL,False
BCR-02.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
BCR-02.2,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
BCR-03.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
BCR-04.1,UNASSESSED,NO,WEAK,F_ORGANIZATIONAL,False
BCR-05.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
BCR-05.2,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
BCR-06.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
BCR-07.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
BCR-08.1,UNASSESSED,NO,WEAK,G_CLOUD_SUBPROCESSOR,False
BCR-08.2,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
BCR-09.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
BCR-09.2,UNASSESSED,NO,WEAK,F_ORGANIZATIONAL,False
BCR-10.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
BCR-11.1,UNASSESSED,NO,NONE,G_CLOUD_SUBPROCESSOR,True
CCC-01.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
CCC-01.2,UNASSESSED,NO,WEAK,F_ORGANIZATIONAL,False
CCC-02.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
CCC-03.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
CCC-04.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
CCC-05.1,UNASSESSED,NO,NONE,G_CLOUD_SUBPROCESSOR,True
CCC-06.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
CCC-06.2,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
CCC-07.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
CCC-08.1,UNASSESSED,NO,WEAK,F_ORGANIZATIONAL,False
CCC-09.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
CEK-01.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
CEK-01.2,UNASSESSED,NO,WEAK,F_ORGANIZATIONAL,False
CEK-02.1,UNASSESSED,NO,WEAK,F_ORGANIZATIONAL,False
CEK-03.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
CEK-04.1,UNASSESSED,YES,MODERATE,A_SOURCE_CODE,False
CEK-05.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
CEK-06.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
CEK-07.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
CEK-08.1,UNASSESSED,NO,WEAK,H_CUSTOMER_SHARED,False
CEK-09.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
CEK-09.2,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
CEK-10.1,UNASSESSED,YES,MODERATE,A_SOURCE_CODE,False
CEK-11.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
CEK-12.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
CEK-13.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
CEK-14.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
CEK-15.1,UNASSESSED,NO,NONE,G_CLOUD_SUBPROCESSOR,True
CEK-16.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
CEK-17.1,UNASSESSED,NO,NONE,G_CLOUD_SUBPROCESSOR,True
CEK-18.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
CEK-19.1,UNASSESSED,NO,NONE,G_CLOUD_SUBPROCESSOR,True
CEK-20.1,UNASSESSED,NO,WEAK,UNCLASSIFIED,False
CEK-21.1,UNASSESSED,NO,WEAK,G_CLOUD_SUBPROCESSOR,False
DCS-01.1,UNASSESSED,NO,WEAK,G_CLOUD_SUBPROCESSOR,False
DCS-01.2,UNASSESSED,NO,WEAK,G_CLOUD_SUBPROCESSOR,False
DCS-02.1,UNASSESSED,NO,WEAK,G_CLOUD_SUBPROCESSOR,False
DCS-02.2,UNASSESSED,NO,WEAK,G_CLOUD_SUBPROCESSOR,False
DCS-02.3,UNASSESSED,NO,WEAK,G_CLOUD_SUBPROCESSOR,False
DCS-03.1,UNASSESSED,NA,MODERATE,G_CLOUD_SUBPROCESSOR,False
