question_id,phase1_response,after_response,change_reason,evidence_strength,phase2_remediation_class,primary_role,na_rationale
A&A-01.1,NO,NO,"",WEAK,F_ORGANIZATIONAL,OSP,""
A&A-01.2,NO,NO,"",WEAK,F_ORGANIZATIONAL,OSP,""
A&A-02.1,NO,NO,"",WEAK,F_ORGANIZATIONAL,OSP,""
A&A-03.1,NO,NO,"",WEAK,F_ORGANIZATIONAL,OSP,""
A&A-04.1,NO,NO,"",WEAK,I_LEGAL_PRIVACY,OSP,""
A&A-05.1,NO,NO,"",WEAK,F_ORGANIZATIONAL,OSP,""
A&A-06.1,NO,NO,"",WEAK,F_ORGANIZATIONAL,OSP,""
AIS-01.1,NO,NO,"",WEAK,B_RUNTIME_ARCHITECTURE,OSP,""
AIS-01.2,NO,NO,"",WEAK,F_ORGANIZATIONAL,OSP,""
AIS-02.1,YES,YES,"",MODERATE,A_SOURCE_CODE,OSP,""
AIS-03.1,YES,YES,"",MODERATE,A_SOURCE_CODE,OSP,""
AIS-04.1,NO,NO,"",WEAK,B_RUNTIME_ARCHITECTURE,OSP,""
AIS-05.1,NO,NO,"",WEAK,B_RUNTIME_ARCHITECTURE,OSP,""
AIS-05.2,NO,NO,"",WEAK,B_RUNTIME_ARCHITECTURE,OSP,""
AIS-06.1,NO,NO,"",WEAK,B_RUNTIME_ARCHITECTURE,OSP,""
AIS-07.1,YES,YES,"",MODERATE,B_RUNTIME_ARCHITECTURE,OSP,""
AIS-08.1,YES,YES,"",STRONG,A_SOURCE_CODE,OSP,""
AIS-08.2,NO,NO,"",WEAK,F_ORGANIZATIONAL,OSP,""
AIS-09.1,YES,YES,"",STRONG,A_SOURCE_CODE,OSP,""
AIS-10.1,YES,YES,"",STRONG,A_SOURCE_CODE,OSP,""
AIS-11.1,YES,YES,"",STRONG,A_SOURCE_CODE,OSP,""
AIS-12.1,YES,YES,"",MODERATE,A_SOURCE_CODE,OSP,""
AIS-13.1,NO,NO,"",WEAK,B_RUNTIME_ARCHITECTURE,OSP,""
AIS-14.1,NO,NO,"",WEAK,B_RUNTIME_ARCHITECTURE,OSP,""
AIS-15.1,NO,NO,"",WEAK,B_RUNTIME_ARCHITECTURE,OSP,""
BCR-01.1,NO,NO,"",WEAK,F_ORGANIZATIONAL,OSP,""
BCR-01.2,NO,NO,"",WEAK,F_ORGANIZATIONAL,OSP,""
BCR-02.1,NO,NO,"",WEAK,F_ORGANIZATIONAL,OSP,""
BCR-02.2,NO,NO,"",WEAK,F_ORGANIZATIONAL,OSP,""
BCR-03.1,NO,NO,"",WEAK,D_PRODUCTION_EVIDENCE,OSP,""
BCR-04.1,NO,NO,"",WEAK,F_ORGANIZATIONAL,OSP,""
BCR-05.1,NO,NO,"",WEAK,F_ORGANIZATIONAL,OSP,""
BCR-05.2,NO,NO,"",WEAK,F_ORGANIZATIONAL,OSP,""
BCR-06.1,NO,NO,"",WEAK,F_ORGANIZATIONAL,OSP,""
BCR-07.1,NO,NO,"",WEAK,F_ORGANIZATIONAL,OSP,""
BCR-08.1,NO,NO,"",WEAK,D_PRODUCTION_EVIDENCE,OSP,""
BCR-08.2,NO,NO,"",WEAK,D_PRODUCTION_EVIDENCE,OSP,""
BCR-09.1,NO,NO,"",WEAK,D_PRODUCTION_EVIDENCE,OSP,""
BCR-09.2,NO,NO,"",WEAK,D_PRODUCTION_EVIDENCE,OSP,""
BCR-10.1,NO,NO,"",WEAK,D_PRODUCTION_EVIDENCE,OSP,""
BCR-11.1,NO,NO,"",NONE,F_ORGANIZATIONAL,OSP,""
CCC-01.1,NO,NO,"",WEAK,M_OTHER_EXPLAINED,OSP,""
CCC-01.2,NO,NO,"",WEAK,F_ORGANIZATIONAL,OSP,""
CCC-02.1,NO,NO,"",WEAK,D_PRODUCTION_EVIDENCE,OSP,""
CCC-03.1,NO,NO,"",WEAK,M_OTHER_EXPLAINED,OSP,""
CCC-04.1,NO,NO,"",WEAK,M_OTHER_EXPLAINED,OSP,""
CCC-05.1,NO,NO,"",NONE,G_CLOUD_SUBPROCESSOR,OSP,""
CCC-06.1,NO,NO,"",WEAK,C_INFRA_CONFIGURATION,OSP,""
CCC-06.2,NO,NO,"",WEAK,F_ORGANIZATIONAL,OSP,""
CCC-07.1,NO,NO,"",WEAK,M_OTHER_EXPLAINED,OSP,""
CCC-08.1,NO,NO,"",WEAK,C_INFRA_CONFIGURATION,OSP,""
CCC-09.1,NO,NO,"",WEAK,M_OTHER_EXPLAINED,OSP,""
